,p_bat_sch,k_pv_sch,p_grid_sch,soc_bat,pv_forecasted,load_forecasted,p_grid_cost
80,1.5621306,1.0,0,0.73255747,0.005215585997926575,1.567346162710097,1.65
81,1.697587,1.0,0,0.70001309,0.0028448650897781314,1.7004318258418711,1.65
82,1.6508487,1.0,0,0.66464669,0.0015517445944244353,1.6524004808228385,1.06
83,1.5747097,1.0,0,0.63025401,0.0008464061424133283,1.5755561031760938,1.06
84,1.5255569,1.0,0,0.59744756,0.00046167607767999726,1.5260186006415055,1.06
85,1.4599461,1.0,0,0.56566512,0.0002518233150981803,1.4601979196226396,1.06
86,1.3755255,1.0,0,0.53524958,0.00013735817187173472,1.3756628930668944,1.06
87,1.1836299,1.0,0,0.5065928,7.49226392027644e-05,1.183704861127397,0.63
88,0.97049402,1.0,0,0.48193384,4.086689411059876e-05,0.9705348838876708,0.63
89,0.84363423,1.0,0,0.46171521,2.2291033151235687e-05,0.8436565219387294,0.63
90,0.75480861,1.0,0,0.4441395,1.2158745355219466e-05,0.7548207674211251,0.63
91,0.70842172,1.0,0,0.42841432,6.6320429210287995e-06,0.7084283515024319,0.63
92,0.69451037,1.0,0,0.41365554,3.6174779569248e-06,0.6945139850013266,0.63
93,0.67054193,1.0,0,0.39918657,1.9731697946862546e-06,0.670543903455269,0.63
94,0.61168072,1.0,0,0.38521695,1.0762744334652298e-06,0.611681791702874,0.63
95,0.5683977,1.0,0,0.3724736,5.870587818901254e-07,0.5683982827470222,0.63
